trading_name,ticker
HSTECH 5xShortSG241218,CWMW.SI
IS ASIA BND US$,N6M.SI
Second Chance,528.SI
Hong Lai Huat,CTO.SI
PRINCIPAL ASEAN40 S$D,QS0.SI
Shangri-La HKD,S07.SI
UOBAM PINGAN CHINEXT S$,CXS.SI
LiNing 5xLongSG251113,DJZW.SI
NikkoAM-STC CN EV S$,EVS.SI
Kori,5VC.SI
CMOB 5xLongSG250327,DEPW.SI
CosmoSteel^,B9S.SI
ST Group Food,DRX.SI
ProsperCap,PPC.SI
YKGI,YK9.SI
Datapulse Tech^,BKW.SI
JD 5xLongSG250924,8E9W.SI
Venture 5xLongUB250530,RFVW.SI
ICP Ltd,5I4.SI
GHY Culture,XJB.SI
A Lion-Nomura Japan S$,JJJ.SI
Thakral,AWI.SI
Amundi EM Mkt US$,H1N.SI
Geely 5xShortSG241209,DZUW.SI
Hyphens Pharma,1J5.SI
NASDAQ 20500MBeCW240920,EDMW.SI
WuxiBio 5xShortSG240709,DYLW.SI
Genting 5xLongUB250530,YIQW.SI
Vicplas Intl,569.SI
Hafary,5VS.SI
CH Offshore^,C13.SI
Procurri,BVQ.SI
Venture 5xLongSG241218,DRZW.SI
Lum Chang,L19.SI
New Wave,5FX.SI
Geely 5xLongSG251113,DRRW.SI
A Lion-Nomura Japan US$,JUS.SI
Yamada Green Res,BJV.SI
IPC Corp^,AZA.SI
Amplefield Ltd,AOF.SI
OCBC 5xShortSG250226,DFWW.SI
OxPay Financial,TVV.SI
ES,5RC.SI
NikkoAM-STC A_REIT US$,COI.SI
TIH,T55.SI
PlatoCapital,YYN.SI
MDR Limited,Y3D.SI
The Place Hldg,E27.SI
iWOW Tech,NXR.SI
MediLifestyle,Z4D.SI
Sapphire,BRD.SI
Ever Glory,ZKX.SI
Leader Env,LS9.SI
HKEx 5xLongUB250228,FDWW.SI
Gulf TH SDR,TGED.SI
ISHARES AXJCLIMATE S$,ICM.SI
Cordlife,P8A.SI
Digilife Tech,BAI.SI
Amara,A34.SI
Quantum Health,V8Y.SI
Sitra,5LE.SI
China Yuanbang,BCD.SI
RE&S Hldg,1G1.SI
SATS 5xShortUB250630,QDSW.SI
